batch-134 | 1mu2hb8 | SAME | "扭转人才流失"
batch-134 | 1g9gerp | SAME | "聚焦真正的敌人"
batch-134 | 1wgklhv | SAME | "南斯拉夫"
batch-134 | 17dojuo | SAME | "罗马尼亚"
batch-135 | mngvdd | SAME | "成就"
batch-135 | 8zhvfx | SAME | "国家"
batch-135 | 1cnj1yh | SAME | "西欧"
batch-135 | bok7lm | SAME | "奥地利 比利时 丹麦 芬兰 法国 （自由法国） （维希法国） 德意志国 冰岛 爱尔兰 意大利 卢森堡 荷兰 挪威 葡萄牙 民族主义西班牙 共和西班牙 瑞典 瑞士 英国"
batch-135 | 1vc7ztr | SAME | "东欧"
batch-135 | 1rk9q5a | SAME | "阿尔巴尼亚 保加利亚 捷克斯洛伐克 爱沙尼亚 希腊 匈牙利 拉脱维亚 立陶宛 波兰 罗马尼亚 苏联 南斯拉夫"
batch-135 | nxzqyh | SAME | "可释放国家"
batch-135 | zm8fj7 | SAME | "巴登-符腾堡 巴斯克 巴伐利亚 布列塔尼 加泰罗尼亚 科西嘉 加利西亚 黑森 伦巴底-威尼西亚 马耳他 梅克伦堡 北爱尔兰 奥克西塔尼亚 教宗国 普鲁士 莱茵共和国 萨普米 撒丁-皮埃蒙特 萨克森 苏格兰 石勒苏益格-荷尔斯泰因 图林根 托斯卡纳 两西西里 威尔士 威斯特法伦"
batch-135 | 7nopgr | SAME | "威尔士"
batch-135 | 1avbxo5 | SAME | "威斯特法伦"
batch-135 | 9seve0 | SAME | "波斯尼亚-黑塞哥维那"
batch-135 | 1kmbsam | SAME | "克罗地亚"
batch-135 | 13w72cz | SAME | "塞浦路斯"
batch-135 | u5tbrr | SAME | "黑塞哥维那"
batch-135 | 1e31uo7 | SAME | "卡舒比"
batch-135 | 1tr16bi | SAME | "科索沃"
batch-135 | kajfhu | SAME | "马其顿"
batch-135 | 1y7koyr | SAME | "摩尔多瓦"
batch-135 | 1hrf68z | SAME | "黑山"
batch-135 | 1ym8wsv | SAME | "塞尔维亚"
batch-135 | 88l67d | SAME | "西里西亚"
batch-135 | 1lt51ah | SAME | "斯洛伐克"
batch-135 | mf9x5m | SAME | "斯洛文尼亚"
batch-135 | vvcjcz | SAME | "特兰西瓦尼亚"
batch-135 | 1dvpjb2 | SAME | "阿布哈兹 巴什科尔托斯坦 白俄罗斯 车臣-印古什 楚瓦什 克里米亚 达吉斯坦 卡巴尔达-巴尔卡尔 卡尔梅克 卡累利阿 科米 马里埃尔 涅涅茨 北奥塞梯-阿兰 鞑靼斯坦 乌德穆尔特 乌克兰 伏尔加德意志"
batch-135 | 1bjft | SAME | "Template:Country navbox/Americas"
batch-135 | ppjjlu | SAME | "Template:Country navbox/Asia"
batch-135 | v3lp3u | SAME | "Template:Country navbox/Africa"
batch-135 | hngfef | SAME | "Template:Country navbox/Special"
batch-135 | yvqz91 | SAME | "德意志国国旗"
batch-135 | d8by42 | SAME | "丹麦国旗"
batch-135 | alp93w | SAME | "波兰国旗"
batch-135 | 1a9wcn8 | SAME | "捷克斯洛伐克国旗"
batch-135 | 1por3w7 | SAME | "奥地利国旗"
batch-135 | 6a0lhd | SAME | "瑞士国旗"
batch-135 | 1dbl5b7 | SAME | "法国国旗"
batch-135 | 1fzgrhw | SAME | "卢森堡国旗"
batch-135 | 15b6pj9 | SAME | "比利时国旗"
batch-135 | d9rc0g | SAME | "荷兰国旗"
batch-135 | 11h2v5u | SAME | "总体战"
batch-135 | mzg8xt | SAME | "苏联国旗"
batch-135 | z1ygrj | SAME | "抵抗运动"
batch-135 | 10c67nv | SAME | "中国国旗"
batch-135 | 5dkhsc | SAME | "日本国旗"
batch-135 | hds6yo | SAME | "战争目标"
batch-135 | tl8h5a | SAME | "欧洲联邦国旗"
batch-135 | 3xiv23 | SAME | "意大利国旗"
batch-135 | bkuboy | SAME | "英国国旗"
batch-135 | uhl5p4 | SAME | "奥匈帝国国旗"
batch-135 | anjqbm | SAME | "匈牙利国旗"
batch-135 | 1tdgwj6 | SAME | "南斯拉夫国旗"
batch-135 | 1jfx753 | SAME | "罗马尼亚国旗"
batch-135 | fmkrcm | SAME | "挪威国旗"
batch-135 | dzkvs4 | SAME | "瑞典国旗"
batch-135 | ls3b3f | SAME | "爱沙尼亚国旗"
batch-135 | 15aro5j | SAME | "拉脱维亚国旗"
batch-135 | u5bvpz | SAME | "立陶宛国旗"
batch-135 | p7yux8 | SAME | "芬兰国旗"
batch-135 | xw4s3v | SAME | "以血盟誓"
batch-135 | qpm2iv | SAME | "胜利点"
batch-135 | mz0woq | SAME | "战争支持度"
batch-135 | 1dudzcg | SAME | "是"
batch-135 | c7zmoh | SAME | "德国国旗"
batch-135 | 1n691wz | SAME | "自治度"
batch-135 | woj59t | SAME | "我们时代的和平"
batch-135 | 1lqjrw6 | SAME | "互斥"
batch-135 | 1pt9mfr | SAME | "Generic mio trait icon mines.png"
